2025-10-30 00:55:28,933 [INFO] extractor.entities: Progress: 8900/28353 files processed, 2189665 entities extracted
2025-10-30 00:55:32,644 [INFO] extractor.entities: Progress: 9000/28353 files processed, 2211396 entities extracted
2025-10-30 00:55:36,746 [INFO] extractor.entities: Progress: 9100/28353 files processed, 2233307 entities extracted
2025-10-30 00:55:40,626 [INFO] extractor.entities: Progress: 9200/28353 files processed, 2256749 entities extracted
2025-10-30 00:55:44,702 [INFO] extractor.entities: Progress: 9300/28353 files processed, 2281191 entities extracted
2025-10-30 00:55:48,246 [INFO] extractor.entities: Progress: 9400/28353 files processed, 2302238 entities extracted
2025-10-30 00:55:52,254 [INFO] extractor.entities: Progress: 9500/28353 files processed, 2325287 entities extracted
2025-10-30 00:55:56,777 [INFO] extractor.entities: Progress: 9600/28353 files processed, 2353422 entities extracted
2025-10-30 00:56:00,968 [INFO] extractor.entities: Progress: 9700/28353 files processed, 2378452 entities extracted
2025-10-30 00:56:04,824 [INFO] extractor.entities: Progress: 9800/28353 files processed, 2400934 entities extracted
2025-10-30 00:56:08,591 [INFO] extractor.entities: Progress: 9900/28353 files processed, 2422383 entities extracted
2025-10-30 00:56:12,861 [INFO] extractor.entities: Progress: 10000/28353 files processed, 2451369 entities extracted
2025-10-30 00:56:16,790 [INFO] extractor.entities: Progress: 10100/28353 files processed, 2475524 entities extracted
2025-10-30 00:56:21,075 [INFO] extractor.entities: Progress: 10200/28353 files processed, 2500736 entities extracted
2025-10-30 00:56:25,142 [INFO] extractor.entities: Progress: 10300/28353 files processed, 2524564 entities extracted
2025-10-30 00:56:29,416 [INFO] extractor.entities: Progress: 10400/28353 files processed, 2551344 entities extracted
2025-10-30 00:56:33,574 [INFO] extractor.entities: Progress: 10500/28353 files processed, 2577892 entities extracted
2025-10-30 00:56:37,367 [INFO] extractor.entities: Progress: 10600/28353 files processed, 2601990 entities extracted
2025-10-30 00:56:41,329 [INFO] extractor.entities: Progress: 10700/28353 files processed, 2628325 entities extracted
2025-10-30 00:56:45,369 [INFO] extractor.entities: Progress: 10800/28353 files processed, 2655466 entities extracted
2025-10-30 00:56:49,260 [INFO] extractor.entities: Progress: 10900/28353 files processed, 2677613 entities extracted
2025-10-30 00:56:53,245 [INFO] extractor.entities: Progress: 11000/28353 files processed, 2701248 entities extracted
2025-10-30 00:56:57,543 [INFO] extractor.entities: Progress: 11100/28353 files processed, 2729236 entities extracted
2025-10-30 00:57:01,598 [INFO] extractor.entities: Progress: 11200/28353 files processed, 2752843 entities extracted
2025-10-30 00:57:05,536 [INFO] extractor.entities: Progress: 11300/28353 files processed, 2776666 entities extracted
2025-10-30 00:57:09,605 [INFO] extractor.entities: Progress: 11400/28353 files processed, 2800523 entities extracted
2025-10-30 00:57:13,677 [INFO] extractor.entities: Progress: 11500/28353 files processed, 2824893 entities extracted
2025-10-30 00:57:17,628 [INFO] extractor.entities: Progress: 11600/28353 files processed, 2847491 entities extracted
2025-10-30 00:57:21,570 [INFO] extractor.entities: Progress: 11700/28353 files processed, 2871686 entities extracted
2025-10-30 00:57:25,521 [INFO] extractor.entities: Progress: 11800/28353 files processed, 2896666 entities extracted
2025-10-30 00:57:29,218 [INFO] extractor.entities: Progress: 11900/28353 files processed, 2923403 entities extracted
2025-10-30 00:57:33,383 [INFO] extractor.entities: Progress: 12000/28353 files processed, 2945997 entities extracted
2025-10-30 00:57:37,475 [INFO] extractor.entities: Progress: 12100/28353 files processed, 2968641 entities extracted
2025-10-30 00:57:41,615 [INFO] extractor.entities: Progress: 12200/28353 files processed, 2993511 entities extracted
2025-10-30 00:57:45,562 [INFO] extractor.entities: Progress: 12300/28353 files processed, 3016351 entities extracted
2025-10-30 00:57:49,743 [INFO] extractor.entities: Progress: 12400/28353 files processed, 3040758 entities extracted
2025-10-30 00:57:53,782 [INFO] extractor.entities: Progress: 12500/28353 files processed, 3065812 entities extracted
2025-10-30 00:57:57,810 [INFO] extractor.entities: Progress: 12600/28353 files processed, 3089517 entities extracted
2025-10-30 00:58:02,052 [INFO] extractor.entities: Progress: 12700/28353 files processed, 3112663 entities extracted
2025-10-30 00:58:06,312 [INFO] extractor.entities: Progress: 12800/28353 files processed, 3136906 entities extracted
2025-10-30 00:58:10,308 [INFO] extractor.entities: Progress: 12900/28353 files processed, 3163869 entities extracted
2025-10-30 00:58:14,229 [INFO] extractor.entities: Progress: 13000/28353 files processed, 3186557 entities extracted
